time,lat,lon
0 days 00:39:27,58.165154,38.981678
0 days 00:39:31,58.165878,38.982815
0 days 00:39:35,58.166527,38.984184
0 days 00:39:39,58.167049,38.985878
0 days 00:39:43,58.16748,38.987656
0 days 00:39:47,58.167812,38.989578
0 days 00:39:51,58.168056,38.991657
0 days 00:39:55,58.168221,38.993362
0 days 00:39:59,58.16827,38.995277
0 days 00:40:03,58.168228,38.997021
0 days 00:40:08,58.16787,38.99905
0 days 00:40:12,58.167538,39.000706
0 days 00:40:15,58.167213,39.002407
0 days 00:40:19,58.166706,39.004311
0 days 00:40:23,58.166115,39.006081
0 days 00:40:27,58.165421,39.007687
0 days 00:40:32,58.164486,39.008839
0 days 00:40:36,58.163647,39.009766
0 days 00:40:40,58.162735,39.010414
0 days 00:40:44,58.161793,39.010937
0 days 00:40:48,58.160789,39.011642
0 days 00:40:52,58.159782,39.012005
0 days 00:40:56,58.158764,39.012218
0 days 00:41:00,58.157757,39.012295
0 days 00:41:04,58.156803,39.011589
0 days 00:41:08,58.155861,39.010899
0 days 00:41:12,58.154942,39.009899
0 days 00:41:16,58.154087,39.008862
0 days 00:41:20,58.153286,39.007568
0 days 00:41:24,58.152573,39.006184
0 days 00:41:28,58.151928,39.004555
0 days 00:41:32,58.151375,39.002907
0 days 00:41:36,58.150921,39.001022
0 days 00:41:40,58.15057,38.999187
0 days 00:41:44,58.150326,38.997143
0 days 00:41:48,58.150196,38.99522
0 days 00:41:52,58.150162,38.993404
0 days 00:41:56,58.150253,38.991646
0 days 00:42:01,58.150536,38.989334
0 days 00:42:06,58.150993,38.987278
0 days 00:42:11,58.151588,38.985706
0 days 00:42:15,58.152187,38.984074
0 days 00:42:19,58.152882,38.982624
0 days 00:42:23,58.153637,38.981136
0 days 00:42:27,58.154469,38.979977
0 days 00:42:31,58.155346,38.978844
0 days 00:42:35,58.156273,38.978077
0 days 00:42:39,58.157242,38.977551
0 days 00:42:43,58.158226,38.977085
0 days 00:42:47,58.159222,38.976822
0 days 00:42:51,58.160229,38.976826
0 days 00:42:55,58.161182,38.977417
0 days 00:42:59,58.162132,38.978218
0 days 00:43:03,58.163052,38.979164
0 days 00:43:07,58.16394,38.980003
0 days 00:43:11,58.16478,38.98101
0 days 00:43:15,58.16552,38.982323
0 days 00:43:19,58.166218,38.983765
0 days 00:43:23,58.16679,38.985146
0 days 00:43:27,58.167278,38.986721
0 days 00:43:31,58.16766,38.988445
0 days 00:43:36,58.167992,38.990402
0 days 00:43:53,58.167625,39.017014
0 days 00:43:57,58.16713,39.018665
0 days 00:44:01,58.166519,39.020191
0 days 00:44:05,58.165813,39.021595
0 days 00:44:09,58.165039,39.02285
0 days 00:44:13,58.164185,39.02393
0 days 00:44:17,58.16328,39.024841
0 days 00:44:21,58.162304,39.025555
0 days 00:44:25,58.161289,39.026073
0 days 00:44:29,58.160301,39.026413
0 days 00:44:33,58.159294,39.026512
0 days 00:44:37,58.158276,39.026413
0 days 00:44:41,58.157249,39.026085
0 days 00:44:45,58.156284,39.025585
